game,score,mean_score,record
1,0,0.0,0
2,1,0.5,1
3,1,0.6666666666666666,1
4,0,0.5,1
5,1,0.6,1
6,1,0.6666666666666666,1
7,1,0.7142857142857143,1
8,0,0.625,1
9,0,0.5555555555555556,1
10,2,0.7,2
11,2,0.8181818181818182,2
12,1,0.8333333333333334,2
13,1,0.8461538461538461,2
14,0,0.7857142857142857,2
15,1,0.8,2
16,1,0.8125,2
17,0,0.7647058823529411,2
18,0,0.7222222222222222,2
19,1,0.7368421052631579,2
20,1,0.75,2
21,0,0.7142857142857143,2
22,0,0.6818181818181818,2
23,1,0.6956521739130435,2
24,0,0.6666666666666666,2
25,2,0.72,2
26,0,0.6923076923076923,2
27,1,0.7037037037037037,2
28,0,0.6785714285714286,2
29,0,0.6551724137931034,2
30,1,0.6666666666666666,2
31,1,0.6774193548387096,2
32,2,0.71875,2
33,0,0.696969696969697,2
34,0,0.6764705882352942,2
35,2,0.7142857142857143,2
36,1,0.7222222222222222,2
37,1,0.7297297297297297,2
38,1,0.7368421052631579,2
39,1,0.7435897435897436,2
40,1,0.75,2
41,1,0.7560975609756098,2
42,0,0.7380952380952381,2
43,1,0.7441860465116279,2
44,3,0.7954545454545454,3
45,1,0.8,3
46,0,0.782608695652174,3
47,2,0.8085106382978723,3
48,0,0.7916666666666666,3
49,1,0.7959183673469388,3
50,1,0.8,3
51,0,0.7843137254901961,3
52,0,0.7692307692307693,3
53,4,0.8301886792452831,4
54,1,0.8333333333333334,4
55,2,0.8545454545454545,4
56,0,0.8392857142857143,4
57,1,0.8421052631578947,4
58,2,0.8620689655172413,4
59,0,0.847457627118644,4
60,2,0.8666666666666667,4
61,3,0.9016393442622951,4
62,6,0.9838709677419355,6
63,3,1.0158730158730158,6
64,0,1.0,6
65,0,0.9846153846153847,6
66,4,1.0303030303030303,6
67,1,1.0298507462686568,6
68,0,1.0147058823529411,6
69,0,1.0,6
70,3,1.0285714285714285,6
71,1,1.028169014084507,6
72,2,1.0416666666666667,6
73,1,1.0410958904109588,6
74,2,1.054054054054054,6
75,2,1.0666666666666667,6
76,1,1.0657894736842106,6
77,0,1.051948051948052,6
78,3,1.0769230769230769,6
79,0,1.0632911392405062,6
80,1,1.0625,6
81,2,1.0740740740740742,6
82,1,1.0731707317073171,6
83,2,1.0843373493975903,6
84,2,1.0952380952380953,6
85,0,1.0823529411764705,6
86,0,1.069767441860465,6
87,1,1.0689655172413792,6
88,1,1.0681818181818181,6
89,2,1.0786516853932584,6
90,0,1.0666666666666667,6
91,0,1.054945054945055,6
92,0,1.0434782608695652,6
93,0,1.032258064516129,6
94,0,1.0212765957446808,6
95,3,1.0421052631578946,6
96,2,1.0520833333333333,6
97,4,1.0824742268041236,6
98,5,1.1224489795918366,6
99,3,1.1414141414141414,6
100,2,1.15,6
101,4,1.1782178217821782,6
102,2,1.1862745098039216,6
103,2,1.1941747572815533,6
104,7,1.25,7
105,2,1.2571428571428571,7
106,3,1.2735849056603774,7
107,6,1.3177570093457944,7
108,4,1.3425925925925926,7
109,4,1.3669724770642202,7
110,0,1.3545454545454545,7
111,2,1.3603603603603605,7
112,0,1.3482142857142858,7
113,3,1.3628318584070795,7
114,2,1.368421052631579,7
115,4,1.391304347826087,7
116,1,1.3879310344827587,7
117,1,1.3846153846153846,7
118,2,1.3898305084745763,7
119,2,1.3949579831932772,7
120,1,1.3916666666666666,7
121,8,1.4462809917355373,8
122,2,1.4508196721311475,8
123,1,1.4471544715447155,8
124,7,1.4919354838709677,8
125,2,1.496,8
126,5,1.5238095238095237,8
127,1,1.5196850393700787,8
128,5,1.546875,8
129,0,1.5348837209302326,8
130,2,1.5384615384615385,8
131,4,1.5572519083969465,8
132,0,1.5454545454545454,8
133,3,1.556390977443609,8
134,0,1.544776119402985,8
135,6,1.5777777777777777,8
136,0,1.5661764705882353,8
137,3,1.5766423357664234,8
138,2,1.5797101449275361,8
139,1,1.5755395683453237,8
140,5,1.6,8
141,1,1.5957446808510638,8
142,2,1.5985915492957747,8
143,4,1.6153846153846154,8
144,3,1.625,8
145,4,1.6413793103448275,8
146,7,1.678082191780822,8
147,1,1.6734693877551021,8
148,6,1.7027027027027026,8
149,7,1.738255033557047,8
150,5,1.76,8
151,0,1.7483443708609272,8
